"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"ACC","EQ","03-Nov-2016","       1488.15","       1488.25","       1521.45","       1487.65","       1509.90","       1510.10","       1509.29","     356296","           537754682.20","      21255"
"ACC","EQ","04-Nov-2016","       1510.10","       1511.70","       1526.35","       1474.10","       1492.00","       1490.05","       1495.76","     362809","           542676998.80","      24085"
"ACC","EQ","07-Nov-2016","       1490.05","       1499.20","       1517.00","       1483.25","       1483.25","       1487.65","       1496.65","     252525","           377941931.35","      20893"
"ACC","EQ","08-Nov-2016","       1487.65","       1491.90","       1512.00","       1489.55","       1512.00","       1507.90","       1501.04","     205365","           308260087.80","      15738"
"ACC","EQ","09-Nov-2016","       1507.90","       1451.15","       1467.00","       1358.00","       1460.00","       1455.20","       1432.71","     570189","           816917369.50","      28487"
"ACC","EQ","10-Nov-2016","       1455.20","       1470.00","       1497.00","       1450.05","       1463.00","       1456.80","       1479.94","     379958","           562316209.75","      22312"
"ACC","EQ","11-Nov-2016","       1456.80","       1448.90","       1448.90","       1391.45","       1407.10","       1400.45","       1404.26","     281691","           395566555.25","      15183"
"ACC","EQ","15-Nov-2016","       1400.45","       1396.10","       1431.95","       1328.50","       1340.00","       1334.55","       1376.70","    1136295","          1564335285.40","      45903"
"ACC","EQ","16-Nov-2016","       1334.55","       1349.00","       1375.00","       1307.85","       1332.15","       1338.85","       1333.15","     412210","           549537440.85","      29040"
"ACC","EQ","17-Nov-2016","       1338.85","       1338.90","       1338.90","       1295.00","       1307.10","       1301.40","       1312.68","     279526","           366929033.90","      16597"
"ACC","EQ","18-Nov-2016","       1301.40","       1306.00","       1318.45","       1291.00","       1311.00","       1309.70","       1304.98","     204142","           266400253.95","      12039"
"ACC","EQ","21-Nov-2016","       1309.70","       1315.00","       1316.40","       1265.15","       1275.00","       1272.25","       1286.22","     395665","           508910285.90","      19055"
"ACC","EQ","22-Nov-2016","       1272.25","       1282.00","       1297.00","       1256.55","       1292.30","       1293.00","       1280.90","     274371","           351441256.30","      14844"
"ACC","EQ","23-Nov-2016","       1293.00","       1306.00","       1316.90","       1276.70","       1305.00","       1302.75","       1295.39","     267500","           346516164.50","      14568"
"ACC","EQ","24-Nov-2016","       1302.75","       1302.00","       1335.00","       1281.10","       1331.00","       1325.15","       1316.77","     388251","           511237256.05","      40211"
"ACC","EQ","25-Nov-2016","       1325.15","       1331.00","       1331.00","       1298.75","       1309.00","       1309.40","       1310.23","     328988","           431048403.40","      15616"
"ACC","EQ","28-Nov-2016","       1309.40","       1312.90","       1326.90","       1304.90","       1316.05","       1317.70","       1317.29","     262470","           345750407.25","      20557"
"ACC","EQ","29-Nov-2016","       1317.70","       1321.10","       1339.80","       1306.55","       1321.70","       1320.00","       1326.03","     215852","           286226791.30","      14625"
"ACC","EQ","30-Nov-2016","       1320.00","       1325.00","       1354.75","       1323.20","       1345.60","       1342.40","       1342.55","     358245","           480963344.75","      24633"
"ACC","EQ","01-Dec-2016","       1342.40","       1349.10","       1354.90","       1327.00","       1335.00","       1338.00","       1336.45","     231448","           309319587.30","      10880"
"ACC","EQ","02-Dec-2016","       1338.00","       1333.80","       1338.00","       1317.90","       1335.00","       1325.70","       1325.67","     189494","           251206573.50","       9189"
"ACC","EQ","05-Dec-2016","       1325.70","       1332.35","       1347.25","       1318.80","       1340.35","       1340.00","       1331.78","     189012","           251721499.75","      18259"
"ACC","EQ","06-Dec-2016","       1340.00","       1341.25","       1357.40","       1340.00","       1352.00","       1350.55","       1347.88","     150509","           202868578.45","       9707"
"ACC","EQ","07-Dec-2016","       1350.55","       1352.25","       1360.90","       1347.45","       1351.40","       1350.00","       1350.83","     317740","           429212323.05","      11888"
"ACC","EQ","08-Dec-2016","       1350.00","       1352.20","       1371.40","       1351.00","       1362.00","       1358.65","       1361.99","     189040","           257470378.00","      17633"
"ACC","EQ","09-Dec-2016","       1358.65","       1362.25","       1385.00","       1355.55","       1383.90","       1379.15","       1372.11","     213389","           292794027.30","       9547"
"ACC","EQ","12-Dec-2016","       1379.15","       1372.50","       1375.75","       1341.15","       1345.60","       1345.90","       1355.84","     174756","           236941850.45","      11129"
"ACC","EQ","13-Dec-2016","       1345.90","       1348.70","       1349.90","       1328.20","       1340.00","       1339.75","       1337.23","     160886","           215141963.60","       7324"
"ACC","EQ","14-Dec-2016","       1339.75","       1340.05","       1343.00","       1310.10","       1310.10","       1313.45","       1320.52","     244083","           322317614.85","      23421"
"ACC","EQ","15-Dec-2016","       1313.45","       1306.00","       1328.10","       1304.85","       1310.35","       1314.95","       1316.33","     240587","           316691011.90","      18926"
"ACC","EQ","16-Dec-2016","       1314.95","       1316.80","       1318.50","       1283.05","       1295.00","       1294.15","       1297.46","     359428","           466343226.85","      14792"
"ACC","EQ","19-Dec-2016","       1294.15","       1294.15","       1296.75","       1269.55","       1270.85","       1277.70","       1283.25","     320880","           411769882.90","      16376"
"ACC","EQ","20-Dec-2016","       1277.70","       1274.80","       1299.00","       1272.00","       1299.00","       1295.15","       1288.57","     128333","           165365671.05","       8130"
"ACC","EQ","21-Dec-2016","       1295.15","       1300.05","       1314.10","       1295.00","       1300.30","       1300.00","       1304.91","     189869","           247761836.80","      11469"
"ACC","EQ","22-Dec-2016","       1300.00","       1298.80","       1305.10","       1285.20","       1302.30","       1294.40","       1290.90","     195979","           252988998.05","      19539"
"ACC","EQ","23-Dec-2016","       1294.40","       1296.05","       1305.00","       1285.50","       1294.80","       1296.30","       1294.78","     167352","           216684383.15","      11112"
"ACC","EQ","26-Dec-2016","       1296.30","       1293.65","       1295.00","       1278.40","       1291.50","       1284.10","       1287.69","     128460","           165416497.55","       9521"
"ACC","EQ","27-Dec-2016","       1284.10","       1284.00","       1297.00","       1279.30","       1296.10","       1294.80","       1291.46","     123749","           159817303.50","       5936"
"ACC","EQ","28-Dec-2016","       1294.80","       1283.30","       1305.00","       1283.30","       1299.00","       1294.80","       1296.13","     276849","           358832746.25","      10670"
"ACC","EQ","29-Dec-2016","       1294.80","       1295.00","       1314.70","       1293.40","       1307.00","       1309.95","       1304.98","     283456","           369904506.70","      16091"
"ACC","EQ","30-Dec-2016","       1309.95","       1311.20","       1336.00","       1310.00","       1330.00","       1331.05","       1326.08","     162248","           215153123.40","       8889"
